class;bugsUntil;bugsAfter;RFC;WMC;CBO;DIT;LCOM;NOC;NoPubAttr;NoPubMeth;numAttrInh;NoM;NoLoC;NoMInh;NoPrivAttr;NoPrivMeth;FanIn;FanOut
org::eclipse::jdt::internal::compiler::impl::IntConstant ;1;0; 14.0; 27.0;5;2;66;0; 1.0;11;152; 12.0; 55.0;41;15;1;5;0
org::eclipse::jdt::internal::core::search::matching::SuperTypeReferencePattern ;11;1; 47.0; 53.0;7;4;28;0; 10.0;5;61; 8.0; 214.0;45;0;0;1;6
org::eclipse::jdt::internal::codeassist::complete::CompletionOnQualifiedAllocationExpression ;0;0; 17.0; 11.0;5;6;3;0; 0.0;3;394; 3.0; 32.0;102;0;0;1;4
org::eclipse::jdt::core::dom::SuperFieldAccess ;10;0; 51.0; 25.0;5;3;105;0; 0.0;6;95; 15.0; 96.0;73;3;0;1;5
org::eclipse::jdt::internal::core::ExternalPackageFragmentRoot ;5;0; 22.0; 20.0;6;5;78;0; 0.0;8;62; 13.0; 56.0;202;0;0;1;5
org::eclipse::jdt::internal::compiler::lookup::MethodScope ;24;1; 93.0; 110.0;55;3;105;0; 12.0;11;274; 15.0; 378.0;103;0;2;44;15
org::eclipse::jdt::internal::compiler::CompilationResult ;22;1; 72.0; 72.0;31;1;190;0; 21.0;17;0; 20.0; 245.0;8;3;3;24;7
org::eclipse::jdt::internal::core::util::KeyToSignature ;18;0; 130.0; 56.0;5;2;300;0; 1.0;24;2; 25.0; 258.0;41;8;1;2;3
org::eclipse::jdt::internal::core::jdom::DOMType ;11;0; 162.0; 94.0;14;4;703;0; 0.0;20;50; 38.0; 419.0;185;0;0;4;11
org::eclipse::jdt::internal::compiler::ast::ForStatement ;18;0; 106.0; 91.0;11;3;15;0; 9.0;6;380; 6.0; 343.0;38;2;0;0;11
org::eclipse::jdt::internal::compiler::lookup::MissingTypeBinding ;1;0; 12.0; 7.0;3;5;10;0; 0.0;4;58; 5.0; 34.0;179;0;0;1;2
org::eclipse::jdt::internal::compiler::ast::TrueLiteral ;2;0; 14.0; 11.0;3;6;21;0; 0.0;7;384; 7.0; 39.0;79;0;0;1;2
org::eclipse::jdt::internal::codeassist::complete::CompletionOnKeyword3 ;2;0; 10.0; 6.0;1;7;15;0; 0.0;6;419; 6.0; 21.0;118;1;0;1;0
org::eclipse::jdt::internal::formatter::FormatJavadocText ;7;0; 54.0; 68.0;6;2;136;0; 6.0;7;119; 17.0; 197.0;16;1;1;3;4
org::eclipse::jdt::internal::core::ImportDeclarationElementInfo ;3;0; 1.0; 0.0;1;4;0;0; 0.0;1;7; 1.0; 0.0;28;0;0;1;0
org::eclipse::jdt::internal::formatter::comment::SubstitutionTextReader ;4;0; 29.0; 21.0;5;1;55;2; 0.0;5;0; 11.0; 81.0;28;7;0;2;3
org::eclipse::jdt::internal::compiler::ast::NormalAnnotation ;2;0; 13.0; 16.0;6;5;10;1; 1.0;5;388; 5.0; 45.0;78;0;0;4;2
org::eclipse::jdt::internal::compiler::lookup::SourceTypeBinding ;74;6; 446.0; 456.0;55;4;1275;1; 7.0;43;49; 51.0; 1461.0;148;8;2;32;32
org::eclipse::jdt::internal::core::SetContainerOperation ;5;0; 51.0; 36.0;14;3;15;0; 3.0;1;19; 6.0; 167.0;67;0;4;1;13
org::eclipse::jdt::internal::compiler::lookup::AnnotationBinding ;4;0; 53.0; 53.0;13;1;45;1; 2.0;6;0; 10.0; 151.0;8;0;3;8;6
org::eclipse::jdt::internal::core::LRUCacheEnumerator ;0;0; 3.0; 3.0;1;1;3;0; 0.0;3;0; 3.0; 11.0;8;0;0;1;0
org::eclipse::jdt::internal::core::JavaModelInfo ;2;0; 7.0; 8.0;3;3;3;0; 1.0;1;3; 3.0; 27.0;17;0;1;1;2
org::eclipse::jdt::core::dom::MethodDeclaration ;15;0; 156.0; 81.0;15;3;595;0; 0.0;18;97; 35.0; 319.0;84;11;0;8;9
org::eclipse::jdt::internal::core::search::matching::AndPattern ;4;1; 10.0; 15.0;2;5;10;0; 1.0;1;61; 5.0; 50.0;49;0;1;1;2
org::eclipse::jdt::internal::eval::CodeSnippetSuperReference ;1;0; 10.0; 8.0;3;7;28;0; 0.0;8;398; 8.0; 25.0;107;0;0;1;2
org::eclipse::jdt::internal::core::search::matching::OrPattern ;6;1; 24.0; 25.0;8;3;28;0; 1.0;5;52; 8.0; 69.0;27;0;0;2;7
org::eclipse::jdt::internal::core::util::HashSetOfArray ;1;0; 30.0; 31.0;5;1;36;0; 3.0;7;0; 9.0; 109.0;16;0;2;1;4
org::eclipse::jdt::internal::core::util::ClassFileStruct ;0;0; 16.0; 21.0;35;1;55;16; 0.0;0;0; 11.0; 85.0;8;0;0;32;3
org::eclipse::jdt::internal::codeassist::select::SelectionOnSingleTypeReference ;3;0; 24.0; 11.0;7;6;10;0; 0.0;4;385; 5.0; 35.0;95;0;0;2;5
org::eclipse::jdt::internal::compiler::env::AccessRuleSet ;9;0; 18.0; 22.0;16;1;10;0; 2.0;5;0; 5.0; 62.0;8;1;0;11;5
org::eclipse::jdt::internal::core::search::indexing::IndexAllProject ;10;0; 58.0; 30.0;13;2;15;0; 1.0;5;8; 6.0; 207.0;19;0;0;1;13
org::eclipse::jdt::internal::compiler::codegen::ObjectCache ;1;0; 24.0; 25.0;3;1;36;0; 4.0;8;0; 9.0; 83.0;8;0;1;1;2
org::eclipse::jdt::internal::core::util::ClassFileAttribute ;0;0; 10.0; 5.0;7;2;6;17; 0.0;4;0; 4.0; 18.0;22;3;0;4;3
org::eclipse::jdt::internal::compiler::ast::ForeachStatement ;24;2; 172.0; 84.0;19;3;15;0; 10.0;6;380; 6.0; 451.0;38;11;0;0;19
org::eclipse::jdt::core::dom::NodeEventHandler ;2;0; 11.0; 11.0;1;1;55;1; 0.0;0;0; 11.0; 43.0;8;0;0;1;0
org::eclipse::jdt::internal::eval::CodeSnippetClassFile ;12;1; 42.0; 29.0;13;2;1;0; 0.0;2;270; 2.0; 166.0;48;0;0;1;12
org::eclipse::jdt::internal::compiler::flow::FinallyFlowContext ;8;0; 85.0; 63.0;8;2;28;0; 7.0;5;141; 8.0; 264.0;35;0;0;1;7
org::eclipse::jdt::internal::compiler::SourceJavadocParser ;6;0; 24.0; 49.0;6;3;6;0; 2.0;2;135; 4.0; 107.0;67;0;0;1;5
org::eclipse::jdt::internal::compiler::lookup::UnresolvedReferenceBinding ;7;0; 18.0; 18.0;11;4;15;0; 2.0;2;49; 6.0; 64.0;148;0;0;6;6
org::eclipse::jdt::internal::core::CreateImportOperation ;8;0; 49.0; 20.0;17;3;21;0; 0.0;3;25; 7.0; 83.0;82;0;0;2;15
org::eclipse::jdt::internal::core::builder::ReferenceCollection ;6;1; 37.0; 48.0;8;1;10;1; 4.0;4;0; 5.0; 140.0;8;0;0;3;5
org::eclipse::jdt::internal::compiler::ast::InstanceOfExpression ;13;1; 39.0; 18.0;8;5;21;0; 2.0;7;412; 7.0; 70.0;94;0;0;0;8
org::eclipse::jdt::core::dom::NodeSearcher ;1;0; 2.0; 4.0;1;2;1;0; 3.0;1;0; 2.0; 11.0;11;0;0;1;0
org::eclipse::jdt::internal::core::util::AnnotationComponent ;0;0; 12.0; 7.0;5;2;10;0; 0.0;4;0; 5.0; 27.0;22;4;0;1;4
org::eclipse::jdt::core::dom::BreakStatement ;6;0; 35.0; 16.0;4;3;66;0; 0.0;3;95; 12.0; 59.0;73;2;0;1;3
org::eclipse::jdt::internal::core::ASTHolderCUInfo ;4;0; 1.0; 0.0;1;4;0;0; 5.0;1;6; 1.0; 0.0;21;0;0;1;0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnMethodReturnType ;1;0; 5.0; 3.0;2;4;3;0; 0.0;3;410; 3.0; 12.0;66;0;0;1;1
org::eclipse::jdt::internal::compiler::ast::ImportReference ;2;0; 10.0; 10.0;20;2;10;5; 7.0;5;380; 5.0; 35.0;27;0;0;20;0
org::eclipse::jdt::internal::core::builder::ClasspathJar ;7;0; 51.0; 34.0;11;2;45;0; 8.0;9;0; 10.0; 108.0;18;0;0;2;9
org::eclipse::jdt::internal::eval::VariablesInfo ;1;0; 5.0; 7.0;3;1;3;0; 5.0;1;0; 3.0; 25.0;8;0;0;2;1
org::eclipse::jdt::internal::core::DeleteResourceElementsOperation ;10;0; 34.0; 30.0;9;3;10;0; 0.0;0;22; 5.0; 90.0;78;0;1;1;8
org::eclipse::jdt::internal::core::InternalNamingConventions ;9;2; 89.0; 80.0;11;1;55;0; 0.0;4;0; 11.0; 377.0;8;1;7;1;10
org::eclipse::jdt::internal::core::search::IndexQueryRequestor ;1;0; 2.0; 0.0;6;1;1;5; 0.0;2;0; 2.0; 0.0;8;0;0;6;0
org::eclipse::jdt::internal::compiler::flow::SwitchFlowContext ;5;0; 13.0; 6.0;4;2;10;2; 2.0;5;141; 5.0; 23.0;35;0;0;1;3
org::eclipse::jdt::core::dom::LineComment ;3;0; 19.0; 9.0;4;3;36;0; 0.0;1;95; 9.0; 31.0;75;1;0;2;2
org::eclipse::jdt::internal::compiler::ast::JavadocSingleNameReference ;10;0; 12.0; 8.0;6;7;3;2; 2.0;3;419; 3.0; 30.0;115;0;0;2;4
org::eclipse::jdt::internal::compiler::ast::SubRoutineStatement ;10;0; 14.0; 11.0;9;3;28;2; 1.0;8;380; 8.0; 31.0;38;0;0;8;1
org::eclipse::jdt::internal::compiler::ProcessTaskManager ;3;0; 28.0; 25.0;5;1;10;0; 8.0;4;0; 5.0; 140.0;16;3;1;1;5
org::eclipse::jdt::core::dom::SwitchStatement ;9;0; 48.0; 22.0;6;3;91;0; 0.0;4;95; 14.0; 86.0;73;3;0;1;5
org::eclipse::jdt::internal::core::search::matching::SuperTypeReferenceLocator ;4;1; 18.0; 25.0;4;2;21;0; 0.0;4;68; 7.0; 67.0;33;0;0;1;4
org::eclipse::jdt::internal::core::SourceMethod ;17;0; 126.0; 57.0;20;6;378;1; 0.0;22;69; 28.0; 222.0;227;0;0;4;18
org::eclipse::jdt::internal::core::hierarchy::IndexBasedHierarchyBuilder ;33;0; 149.0; 56.0;28;2;36;0; 0.0;3;17; 9.0; 423.0;19;0;3;1;28
org::eclipse::jdt::internal::core::util::CommentRecorderScanner ;0;1; 3.0; 3.0;2;2;1;0; 0.0;2;219; 2.0; 10.0;55;0;0;1;1
org::eclipse::jdt::internal::core::util::StackMapAttribute ;1;0; 9.0; 7.0;4;3;6;0; 0.0;4;1; 4.0; 33.0;31;5;0;1;3
org::eclipse::jdt::core::dom::SuperMethodInvocation ;11;0; 72.0; 38.0;6;3;171;0; 0.0;9;95; 19.0; 136.0;73;6;0;1;6
org::eclipse::jdt::internal::codeassist::complete::CompletionOnExplicitConstructorCall ;0;0; 18.0; 14.0;6;4;3;0; 0.0;3;393; 3.0; 41.0;61;0;0;1;5
org::eclipse::jdt::internal::formatter::old::CodeFormatter ;5;0; 38.0; 24.0;6;1;1;0; 0.0;2;114; 2.0; 131.0;9;1;0;1;5
org::eclipse::jdt::internal::compiler::lookup::CaptureBinding ;20;0; 70.0; 47.0;8;5;45;0; 5.0;10;55; 10.0; 210.0;171;0;0;1;7
org::eclipse::jdt::internal::compiler::lookup::ParameterizedMethodBinding ;14;0; 13.0; 6.0;7;3;10;1; 0.0;5;37; 5.0; 34.0;72;0;0;4;4
org::eclipse::jdt::internal::compiler::ast::FieldDeclaration ;41;0; 105.0; 87.0;38;4;28;5; 4.0;8;396; 8.0; 241.0;57;0;0;17;23
org::eclipse::jdt::internal::compiler::lookup::InferenceContext ;2;0; 34.0; 31.0;6;1;15;0; 6.0;6;0; 6.0; 116.0;8;1;0;3;3
org::eclipse::jdt::core::dom::AssertStatement ;8;0; 49.0; 24.0;5;3;91;0; 0.0;5;95; 14.0; 98.0;73;3;0;1;4
org::eclipse::jdt::internal::core::search::matching::PackageDeclarationPattern ;2;1; 7.0; 4.0;2;4;3;0; 0.0;1;61; 3.0; 17.0;45;0;0;1;1
org::eclipse::jdt::core::dom::InternalASTRewrite ;3;0; 88.0; 35.0;12;2;105;0; 1.0;3;0; 15.0; 163.0;19;1;4;1;11
org::eclipse::jdt::internal::compiler::classfmt::ClassFileReader ;27;0; 210.0; 246.0;22;3;630;0; 0.0;28;8; 36.0; 724.0;37;23;8;7;15
org::eclipse::jdt::internal::core::search::JavaSearchParticipant ;3;0; 25.0; 12.0;10;2;28;0; 1.0;8;0; 8.0; 46.0;18;0;0;3;7
org::eclipse::jdt::internal::core::ImportContainer ;8;0; 34.0; 22.0;11;4;55;1; 0.0;6;52; 11.0; 63.0;127;0;0;1;11
org::eclipse::jdt::core::dom::TypeParameter ;5;0; 50.0; 23.0;6;2;105;0; 0.0;5;95; 15.0; 91.0;68;3;0;1;6
org::eclipse::jdt::internal::compiler::env::NameEnvironmentAnswer ;2;0; 12.0; 14.0;8;1;45;0; 4.0;10;0; 10.0; 34.0;8;0;0;7;1
org::eclipse::jdt::core::CompletionContext ;14;1; 43.0; 31.0;3;2;120;0; 0.0;16;11; 16.0; 123.0;18;0;0;1;2
org::eclipse::jdt::internal::core::index::EntryResult ;2;0; 16.0; 19.0;7;1;15;0; 0.0;6;0; 6.0; 56.0;8;3;0;4;4
org::eclipse::jdt::internal::compiler::problem::AbortCompilation ;8;0; 11.0; 5.0;13;1;1;1; 5.0;2;0; 2.0; 14.0;23;1;0;9;4
org::eclipse::jdt::core::dom::SynchronizedStatement ;8;0; 54.0; 27.0;6;3;91;0; 0.0;5;95; 14.0; 106.0;73;3;0;1;5
org::eclipse::jdt::core::dom::DefaultCommentMapper ;24;0; 67.0; 102.0;6;1;78;0; 9.0;4;0; 13.0; 393.0;8;0;1;2;5
org::eclipse::jdt::internal::core::util::EnclosingMethodAttribute ;0;0; 23.0; 13.0;4;3;28;0; 0.0;7;1; 8.0; 50.0;36;7;0;1;3
org::eclipse::jdt::internal::compiler::ast::ArrayInitializer ;17;0; 75.0; 56.0;16;4;15;0; 2.0;6;384; 6.0; 195.0;69;0;0;3;13
org::eclipse::jdt::internal::codeassist::complete::CompletionOnMemberValueName ;0;0; 5.0; 2.0;1;3;1;0; 0.0;2;384; 2.0; 9.0;31;0;0;1;0
org::eclipse::jdt::internal::compiler::impl::ShortConstant ;1;0; 14.0; 12.0;3;2;66;0; 0.0;11;152; 12.0; 37.0;41;1;1;3;0
org::eclipse::jdt::internal::core::search::matching::OrLocator ;8;0; 30.0; 44.0;5;2;36;0; 0.0;5;68; 9.0; 124.0;33;0;0;1;5
org::eclipse::jdt::internal::core::OpenableElementInfo ;1;0; 3.0; 2.0;3;2;3;6; 0.0;3;2; 3.0; 6.0;14;0;0;3;0
org::eclipse::jdt::internal::compiler::ast::IntLiteralMinValue ;0;0; 2.0; 2.0;0;7;1;0; 0.0;2;388; 2.0; 7.0;87;0;0;0;0
org::eclipse::jdt::internal::core::search::matching::AndLocator ;2;0; 17.0; 25.0;1;2;21;0; 2.0;4;68; 7.0; 74.0;33;0;0;1;1
org::eclipse::jdt::internal::compiler::codegen::CharArrayCache ;4;0; 33.0; 36.0;4;1;55;0; 4.0;9;0; 11.0; 118.0;8;0;2;2;2
org::eclipse::jdt::internal::core::search::matching::MethodLocator ;57;3; 176.0; 175.0;26;2;190;0; 1.0;5;68; 20.0; 526.0;33;1;4;1;26
org::eclipse::jdt::core::BufferChangedEvent ;0;0; 5.0; 5.0;2;1;10;0; 0.0;5;0; 5.0; 18.0;16;4;0;2;0
org::eclipse::jdt::internal::core::NullBuffer ;1;0; 1.0; 1.0;1;2;0;0; 0.0;1;11; 1.0; 3.0;47;0;0;1;0
org::eclipse::jdt::core::dom::ReturnStatement ;6;0; 35.0; 16.0;3;3;66;0; 0.0;3;95; 12.0; 60.0;73;2;0;1;2
org::eclipse::jdt::internal::core::CopyPackageFragmentRootOperation ;12;1; 104.0; 46.0;15;2;15;1; 4.0;2;18; 6.0; 223.0;62;0;0;2;13
org::eclipse::jdt::internal::core::MultiOperation ;3;0; 81.0; 56.0;18;2;136;4; 0.0;2;18; 17.0; 165.0;62;0;1;7;11
org::eclipse::jdt::internal::core::ProjectReferenceChange ;3;1; 12.0; 12.0;5;1;3;0; 0.0;3;0; 3.0; 77.0;8;2;0;3;2
org::eclipse::jdt::internal::compiler::ast::QualifiedSuperReference ;3;1; 17.0; 10.0;7;7;15;1; 0.0;6;386; 6.0; 38.0;97;0;0;1;6
org::eclipse::jdt::internal::core::search::processing::JobManager ;16;0; 122.0; 93.0;15;1;120;1; 2.0;13;0; 16.0; 383.0;16;2;0;10;6
org::eclipse::jdt::internal::core::search::matching::MemberDeclarationVisitor ;1;0; 23.0; 39.0;6;2;21;0; 9.0;3;0; 7.0; 142.0;11;7;2;0;6
org::eclipse::jdt::core::dom::SimpleName ;13;0; 47.0; 32.0;62;4;105;0; 0.0;4;97; 15.0; 124.0;79;3;0;58;5
org::eclipse::jdt::internal::eval::CodeSnippetToCuMapper ;17;0; 32.0; 24.0;4;1;21;0; 12.0;6;14; 7.0; 233.0;8;0;1;2;2
org::eclipse::jdt::internal::core::builder::JavaBuilder ;31;0; 319.0; 196.0;25;1;465;0; 13.0;11;0; 31.0; 661.0;0;0;15;7;21
org::eclipse::jdt::core::dom::AnnotationTypeDeclaration ;6;0; 57.0; 26.0;7;4;136;0; 0.0;1;99; 17.0; 98.0;100;1;0;1;7
org::eclipse::jdt::internal::compiler::util::SimpleNameVector ;1;0; 20.0; 18.0;3;1;45;0; 4.0;10;0; 10.0; 64.0;8;0;0;1;2
org::eclipse::jdt::internal::core::SearchableEnvironment ;27;1; 54.0; 38.0;17;1;66;1; 1.0;5;48; 12.0; 144.0;11;0;4;4;13
org::eclipse::jdt::core::dom::LabeledStatement ;9;0; 53.0; 27.0;6;3;91;0; 0.0;5;95; 14.0; 107.0;73;3;0;1;5
org::eclipse::jdt::internal::core::search::AbstractSearchScope ;1;0; 5.0; 4.0;1;1;10;2; 0.0;5;5; 5.0; 12.0;14;0;0;1;0
org::eclipse::jdt::internal::core::hierarchy::HierarchyBuilder ;12;0; 89.0; 51.0;22;1;55;2; 0.0;3;0; 11.0; 242.0;8;0;0;5;18
org::eclipse::jdt::internal::compiler::ast::Argument ;13;0; 56.0; 38.0;23;5;28;2; 0.0;8;397; 8.0; 132.0;64;1;0;13;11
org::eclipse::jdt::internal::codeassist::MissingTypesGuesser ;3;0; 44.0; 32.0;10;2;36;0; 0.0;2;0; 9.0; 186.0;11;5;7;1;9
org::eclipse::jdt::internal::core::util::JavaElementFinder ;1;0; 54.0; 26.0;9;2;66;0; 2.0;11;2; 12.0; 89.0;41;3;1;0;9
org::eclipse::jdt::internal::compiler::flow::ConditionalFlowInfo ;4;0; 68.0; 43.0;2;2;496;0; 2.0;31;8; 32.0; 145.0;46;0;0;1;2
org::eclipse::jdt::internal::core::search::JavaWorkspaceScope ;8;0; 60.0; 40.0;12;3;36;0; 0.0;9;5; 9.0; 155.0;21;1;0;2;11
org::eclipse::jdt::internal::core::MoveResourceElementsOperation ;2;0; 3.0; 3.0;1;4;3;1; 0.0;1;37; 3.0; 9.0;85;0;0;1;0
org::eclipse::jdt::internal::core::BatchInitializationMonitor ;1;0; 27.0; 18.0;1;1;45;0; 3.0;9;0; 10.0; 55.0;8;0;1;1;0
org::eclipse::jdt::internal::compiler::util::Util ;25;1; 143.0; 120.0;61;1;171;0; 0.0;18;12; 19.0; 513.0;8;2;1;44;17
org::eclipse::jdt::internal::core::CancelableProblemFactory ;6;0; 6.0; 4.0;1;2;1;0; 1.0;2;1; 2.0; 9.0;18;0;0;0;1
org::eclipse::jdt::internal::core::LocalVariable ;13;1; 78.0; 55.0;20;4;300;0; 7.0;16;52; 25.0; 222.0;129;0;3;5;15
org::eclipse::jdt::internal::compiler::ast::MethodDeclaration ;17;2; 59.0; 69.0;21;3;28;4; 2.0;8;408; 8.0; 198.0;58;0;0;7;15
org::eclipse::jdt::internal::core::ResolvedBinaryType ;2;0; 11.0; 7.0;5;8;15;0; 0.0;5;82; 6.0; 26.0;319;1;0;4;2
org::eclipse::jdt::internal::compiler::lookup::InnerEmulationDependency ;0;0; 1.0; 1.0;1;1;0;0; 2.0;1;0; 1.0; 4.0;8;0;0;1;0
org::eclipse::jdt::internal::core::CreateTypeOperation ;7;0; 35.0; 16.0;11;4;28;0; 0.0;2;28; 8.0; 62.0;91;0;1;3;8
org::eclipse::jdt::internal::core::hierarchy::RegionBasedHierarchyBuilder ;7;0; 61.0; 31.0;12;2;21;0; 0.0;2;5; 7.0; 156.0;19;0;5;1;11
org::eclipse::jdt::internal::core::util::PublicScanner ;43;0; 374.0; 1169.0;9;1;1225;0; 44.0;41;114; 50.0; 3449.0;20;2;3;0;9
org::eclipse::jdt::internal::compiler::ast::Block ;5;0; 32.0; 30.0;16;3;45;0; 3.0;10;380; 10.0; 97.0;38;0;0;12;4
org::eclipse::jdt::internal::core::search::matching::MatchLocator ;135;5; 572.0; 419.0;102;1;1431;0; 24.0;19;0; 54.0; 1531.0;9;2;4;17;90
org::eclipse::jdt::internal::compiler::ast::ExplicitConstructorCall ;21;1; 127.0; 104.0;26;3;105;2; 9.0;14;380; 15.0; 364.0;46;0;0;10;17
org::eclipse::jdt::core::dom::SimpleType ;9;0; 37.0; 19.0;12;3;66;0; 0.0;3;95; 12.0; 72.0;76;2;0;9;3
org::eclipse::jdt::internal::core::dom::rewrite::ASTRewriteFormatter ;8;0; 65.0; 50.0;11;1;120;0; 19.0;13;0; 16.0; 258.0;8;6;3;5;7
org::eclipse::jdt::internal::core::builder::ProblemFactory ;0;0; 5.0; 3.0;3;2;1;0; 1.0;1;1; 2.0; 9.0;18;0;1;2;1
org::eclipse::jdt::internal::core::ExternalFolderChange ;2;0; 13.0; 7.0;6;1;3;0; 0.0;3;0; 3.0; 27.0;8;2;0;3;3
org::eclipse::jdt::internal::compiler::ClassFilePool ;0;0; 10.0; 8.0;3;1;10;0; 1.0;4;0; 5.0; 30.0;8;0;1;2;2
org::eclipse::jdt::internal::core::hierarchy::HierarchyType ;0;0; 7.0; 4.0;4;2;6;0; 5.0;4;1; 4.0; 17.0;11;0;0;1;3
org::eclipse::jdt::internal::compiler::batch::Main ;117;2; 917.0; 659.0;39;1;666;0; 36.0;20;23; 37.0; 2557.0;8;6;5;1;39
