"class","bugsUntil","bugsAfter","hclust"
"org::eclipse::jdt::internal::compiler::parser::NLSTag",6,0,"3"
"org::eclipse::jdt::internal::compiler::classfmt::FieldInfo",11,0,"7"
"org::eclipse::jdt::internal::compiler::lookup::ImportConflictBinding",1,0,"3"
"org::eclipse::jdt::internal::formatter::CodeFormatterVisitor",132,2,"9"
"org::eclipse::jdt::internal::core::jdom::DOMMember",2,0,"6"
"org::eclipse::jdt::internal::core::CreateCompilationUnitOperation",10,0,"3"
"org::eclipse::jdt::internal::codeassist::complete::CompletionOnQualifiedAllocationExpression",0,0,"5"
"org::eclipse::jdt::internal::compiler::lookup::SyntheticMethodBinding",10,2,"1"
"org::eclipse::jdt::internal::compiler::codegen::VerificationTypeInfo",4,0,"1"
"org::eclipse::jdt::core::dom::MarkerAnnotation",4,0,"6"
"org::eclipse::jdt::internal::core::search::matching::MatchingNodeSet",9,0,"1"
"org::eclipse::jdt::internal::compiler::flow::InsideSubRoutineFlowContext",6,0,"4"
"org::eclipse::jdt::internal::compiler::ast::DoubleLiteral",2,0,"5"
"org::eclipse::jdt::internal::core::search::indexing::RemoveFromIndex",1,0,"3"
"org::eclipse::jdt::internal::codeassist::CompletionElementNotifier",1,0,"1"
"org::eclipse::jdt::core::search::SearchDocument",2,1,"3"
"org::eclipse::jdt::internal::compiler::ast::ArrayReference",10,0,"8"
"org::eclipse::jdt::core::dom::PostfixExpression",8,0,"6"
"org::eclipse::jdt::core::dom::SuperFieldAccess",10,0,"6"
"org::eclipse::jdt::internal::compiler::ast::Assignment",28,0,"8"
"org::eclipse::jdt::internal::compiler::codegen::Label",10,0,"3"
"org::eclipse::jdt::internal::core::util::PublicScanner",43,0,"10"
"org::eclipse::jdt::internal::core::JavaModelOperation",29,0,"11"
"org::eclipse::jdt::core::dom::ArrayCreation",9,0,"6"
"org::eclipse::jdt::internal::compiler::parser::ScannerHelper",2,0,"1"
"org::eclipse::jdt::internal::compiler::ast::SuperReference",2,0,"5"
"org::eclipse::jdt::internal::core::BufferCache",3,0,"3"
"org::eclipse::jdt::core::dom::AST",66,0,"12"
"org::eclipse::jdt::internal::codeassist::impl::AssistImportDeclaration",1,0,"4"
"org::eclipse::jdt::internal::compiler::lookup::FieldBinding",16,3,"7"
"org::eclipse::jdt::internal::core::search::TypeNameMatchRequestorWrapper",8,0,"1"
"org::eclipse::jdt::internal::core::UserLibraryManager",6,0,"1"
"org::eclipse::jdt::internal::eval::EvaluationResult",2,0,"1"
"org::eclipse::jdt::internal::core::util::LRUCache",2,0,"7"
"org::eclipse::jdt::internal::compiler::CompilationResult",22,1,"7"
"org::eclipse::jdt::internal::core::CopyPackageFragmentRootOperation",12,1,"1"
"org::eclipse::jdt::internal::codeassist::select::SelectionJavadoc",3,0,"5"
"org::eclipse::jdt::internal::core::util::InnerClassesAttributeEntry",0,0,"3"
"org::eclipse::jdt::core::search::MethodReferenceMatch",9,1,"3"
"org::eclipse::jdt::internal::codeassist::complete::CompletionOnLocalName",2,0,"5"
"org::eclipse::jdt::internal::core::search::matching::FieldLocator",24,1,"1"
"org::eclipse::jdt::internal::core::builder::MissingSourceFileException",0,0,"3"
"org::eclipse::jdt::internal::compiler::ast::ExtendedStringLiteral",3,0,"5"
"org::eclipse::jdt::internal::compiler::codegen::CachedIndexEntry",0,0,"3"
"org::eclipse::jdt::internal::compiler::ast::LongLiteral",5,0,"5"
"org::eclipse::jdt::internal::core::hierarchy::HierarchyBuilder",12,0,"1"
"org::eclipse::jdt::internal::core::jdom::DOMInitializer",4,0,"6"
"org::eclipse::jdt::core::dom::BlockComment",3,0,"4"
"org::eclipse::jdt::core::formatter::CodeFormatter",13,0,"3"
"org::eclipse::jdt::internal::codeassist::select::SelectionOnImportReference",0,0,"5"
"org::eclipse::jdt::internal::core::search::BasicSearchEngine",41,1,"13"
"org::eclipse::jdt::internal::core::builder::ClasspathJar",7,0,"1"
"org::eclipse::jdt::core::dom::BreakStatement",6,0,"6"
"org::eclipse::jdt::internal::codeassist::complete::CompletionNodeFound",1,0,"3"
"org::eclipse::jdt::internal::core::builder::AbstractImageBuilder",41,2,"13"
"org::eclipse::jdt::internal::core::search::indexing::IndexBinaryFolder",3,0,"1"
"org::eclipse::jdt::internal::core::BinaryType",45,1,"11"
"org::eclipse::jdt::internal::compiler::codegen::LongCache",1,0,"3"
"org::eclipse::jdt::internal::codeassist::complete::CompletionJavadoc",1,0,"8"
"org::eclipse::jdt::internal::codeassist::complete::CompletionOnJavadocQualifiedTypeReference",3,0,"5"
"org::eclipse::jdt::internal::compiler::ClassFile",69,6,"14"
"org::eclipse::jdt::internal::compiler::ast::ThrowStatement",3,0,"5"
"org::eclipse::jdt::core::compiler::batch::BatchCompiler",1,0,"3"
"org::eclipse::jdt::internal::compiler::ast::JavadocArrayQualifiedTypeReference",6,0,"5"
"org::eclipse::jdt::internal::formatter::comment::CommentFormatterUtil",2,0,"3"
"org::eclipse::jdt::internal::compiler::flow::FlowContext",17,2,"7"
"org::eclipse::jdt::internal::compiler::Compiler",32,1,"7"
"org::eclipse::jdt::internal::compiler::ast::TypeReference",16,0,"8"
"org::eclipse::jdt::internal::compiler::parser::RecoveredAnnotation",2,0,"1"
"org::eclipse::jdt::internal::formatter::CascadingMethodInvocationFragmentBuilder",4,0,"3"
"org::eclipse::jdt::internal::compiler::ast::AbstractMethodDeclaration",35,0,"8"
"org::eclipse::jdt::internal::formatter::comment::CommentLine",1,0,"1"
"org::eclipse::jdt::internal::compiler::DocumentElementParser",9,0,"11"
"org::eclipse::jdt::internal::compiler::ast::ASTNode",55,1,"13"
"org::eclipse::jdt::internal::core::search::matching::FieldPattern",11,1,"4"
"org::eclipse::jdt::internal::core::search::indexing::IndexRequest",0,0,"3"
"org::eclipse::jdt::core::formatter::CodeFormatterApplication",6,0,"1"
"org::eclipse::jdt::internal::codeassist::complete::CompletionOnFieldName",2,0,"5"
"org::eclipse::jdt::internal::core::builder::WorkQueue",0,0,"3"
"org::eclipse::jdt::core::dom::Comment",0,0,"4"
"org::eclipse::jdt::internal::core::search::indexing::AddJarFileToIndex",5,1,"1"
"org::eclipse::jdt::core::dom::VariableDeclarationStatement",11,0,"6"
"org::eclipse::jdt::internal::formatter::OptimizedReplaceEdit",1,0,"3"
"org::eclipse::jdt::core::CompletionRequestor",10,0,"3"
"org::eclipse::jdt::internal::compiler::ast::LocalDeclaration",29,0,"8"
"org::eclipse::jdt::internal::compiler::ast::QualifiedAllocationExpression",25,1,"8"
"org::eclipse::jdt::internal::compiler::ast::JavadocArraySingleTypeReference",6,0,"5"
"org::eclipse::jdt::internal::compiler::codegen::ExceptionLabel",6,1,"3"
"org::eclipse::jdt::core::dom::InstanceofExpression",8,0,"6"
"org::eclipse::jdt::core::dom::ClassInstanceCreation",14,0,"7"
"org::eclipse::jdt::internal::eval::InstallException",0,0,"3"
"org::eclipse::jdt::internal::core::MemberElementInfo",2,0,"3"
"org::eclipse::jdt::internal::core::PackageFragmentRootInfo",11,0,"1"
"org::eclipse::jdt::internal::core::search::indexing::AbstractIndexer",8,0,"1"
"org::eclipse::jdt::internal::formatter::comment::JavaDocLine",1,0,"4"
"org::eclipse::jdt::internal::compiler::problem::DefaultProblemFactory",19,0,"1"
"org::eclipse::jdt::internal::compiler::impl::BooleanConstant",5,0,"4"
"org::eclipse::jdt::core::dom::QualifiedType",6,0,"6"
"org::eclipse::jdt::internal::compiler::parser::RecoveredUnit",6,0,"1"
"org::eclipse::jdt::internal::compiler::lookup::MethodBinding",34,3,"11"
"org::eclipse::jdt::internal::core::util::RecordedParsingInformation",5,0,"3"
"org::eclipse::jdt::core::dom::SuperMethodInvocation",11,0,"6"
"org::eclipse::jdt::internal::formatter::align::AlignmentException",0,0,"3"
"org::eclipse::jdt::internal::compiler::ast::ClassLiteralAccess",9,0,"5"
"org::eclipse::jdt::core::BufferChangedEvent",0,0,"3"
"org::eclipse::jdt::internal::eval::CodeSnippetClassFile",12,1,"8"
"org::eclipse::jdt::internal::core::SourceRefElement",15,0,"7"
"org::eclipse::jdt::internal::codeassist::complete::CompletionOnJavadocFieldReference",4,0,"5"
"org::eclipse::jdt::internal::compiler::problem::AbortMethod",3,0,"3"
"org::eclipse::jdt::internal::compiler::problem::ShouldNotImplement",0,0,"3"
"org::eclipse::jdt::internal::core::BufferManager",4,0,"3"
"org::eclipse::jdt::internal::core::SearchableEnvironmentRequestor",7,0,"3"
"org::eclipse::jdt::internal::core::DeleteElementsOperation",12,0,"1"
"org::eclipse::jdt::internal::core::search::matching::MethodLocator",57,3,"13"
"org::eclipse::jdt::core::dom::AnonymousClassDeclaration",7,0,"4"
"org::eclipse::jdt::internal::formatter::BinaryExpressionFragmentBuilder",9,0,"3"
"org::eclipse::jdt::core::compiler::CategorizedProblem",4,0,"5"
"org::eclipse::jdt::internal::core::search::matching::InternalReferenceMatch",1,1,"3"
"org::eclipse::jdt::internal::core::Region",2,0,"3"
"org::eclipse::jdt::internal::codeassist::complete::CompletionOnMessageSend",2,0,"5"
"org::eclipse::jdt::internal::compiler::lookup::InnerEmulationDependency",0,0,"3"
"org::eclipse::jdt::internal::core::XMLWriter",4,0,"3"
"org::eclipse::jdt::internal::core::index::EntryResult",2,0,"3"
"org::eclipse::jdt::internal::compiler::lookup::Binding",7,0,"3"
"org::eclipse::jdt::core::dom::DocCommentParser",36,1,"13"
"org::eclipse::jdt::internal::compiler::ast::ParameterizedQualifiedTypeReference",32,1,"8"
"org::eclipse::jdt::internal::core::CreateMethodOperation",9,0,"4"
"org::eclipse::jdt::core::dom::SimpleType",9,0,"6"
"org::eclipse::jdt::internal::codeassist::select::SelectionOnExplicitConstructorCall",1,0,"5"
"org::eclipse::jdt::internal::core::search::JavaWorkspaceScope",8,0,"1"
"org::eclipse::jdt::internal::core::util::ClassFileReader",5,0,"7"
"org::eclipse::jdt::internal::codeassist::complete::CompletionParser",102,1,"15"
"org::eclipse::jdt::internal::core::util::StackMapAttribute",1,0,"3"
"org::eclipse::jdt::internal::core::LocalVariable",13,1,"7"
"org::eclipse::jdt::internal::core::dom::rewrite::RewriteEvent",0,0,"3"
"org::eclipse::jdt::internal::codeassist::impl::AssistImportContainer",1,0,"4"
"org::eclipse::jdt::internal::core::MoveElementsOperation",2,0,"4"
"org::eclipse::jdt::internal::codeassist::select::SelectionOnNameOfMemberValuePair",0,0,"5"
"org::eclipse::jdt::internal::compiler::ast::CaseStatement",15,0,"5"
"org::eclipse::jdt::core::CompletionContext",14,1,"1"
"org::eclipse::jdt::core::dom::VariableDeclarationExpression",11,0,"6"
"org::eclipse::jdt::internal::core::builder::BatchImageBuilder",28,1,"1"
"org::eclipse::jdt::core::dom::NullLiteral",5,0,"4"
"org::eclipse::jdt::internal::compiler::impl::CharConstant",1,0,"4"
"org::eclipse::jdt::internal::core::ClasspathValidation",0,1,"3"
"org::eclipse::jdt::internal::core::eval::EvaluationContextWrapper",2,0,"1"
"org::eclipse::jdt::core::formatter::DefaultCodeFormatterConstants",62,2,"1"
"org::eclipse::jdt::internal::compiler::DefaultErrorHandlingPolicies",0,0,"3"
"org::eclipse::jdt::internal::formatter::AbortFormatting",0,0,"3"
"org::eclipse::jdt::internal::compiler::ast::NullLiteral",7,0,"5"
"org::eclipse::jdt::core::dom::VariableDeclaration",3,0,"4"
"org::eclipse::jdt::internal::eval::CodeSnippetTypeDeclaration",3,0,"5"
"org::eclipse::jdt::internal::compiler::classfmt::ClassFileReader",27,0,"2"
"org::eclipse::jdt::internal::core::dom::rewrite::NodeRewriteEvent",1,0,"3"
"org::eclipse::jdt::internal::compiler::problem::AbortType",3,0,"3"
"org::eclipse::jdt::internal::compiler::impl::CompilerOptions",76,1,"13"
"org::eclipse::jdt::internal::compiler::lookup::InferenceContext",2,0,"1"
"org::eclipse::jdt::internal::compiler::batch::CompilationUnit",4,0,"3"
"org::eclipse::jdt::internal::core::search::matching::OrPattern",6,1,"4"
"org::eclipse::jdt::internal::compiler::ast::ForStatement",18,0,"8"
"org::eclipse::jdt::internal::compiler::classfmt::ClassFormatException",2,0,"3"
"org::eclipse::jdt::internal::compiler::ast::SubRoutineStatement",10,0,"5"
"org::eclipse::jdt::core::search::ReferenceMatch",1,1,"3"
"org::eclipse::jdt::internal::codeassist::complete::CompletionOnJavadocAllocationExpression",4,0,"5"
"org::eclipse::jdt::internal::core::CompilationUnit",73,1,"16"
"org::eclipse::jdt::internal::core::ImportDeclaration",7,0,"6"
"org::eclipse::jdt::internal::compiler::ast::ArrayAllocationExpression",5,0,"5"
"org::eclipse::jdt::core::dom::EnhancedForStatement",5,0,"6"
"org::eclipse::jdt::internal::compiler::codegen::CharArrayCache",4,0,"1"
"org::eclipse::jdt::core::dom::PackageDeclaration",11,0,"6"
"org::eclipse::jdt::internal::codeassist::complete::CompletionOnMemberAccess",3,0,"5"
"org::eclipse::jdt::internal::core::RenameResourceElementsOperation",2,0,"4"
"org::eclipse::jdt::internal::compiler::lookup::CompilationUnitScope",34,4,"13"
"org::eclipse::jdt::core::dom::ForStatement",11,0,"6"
"org::eclipse::jdt::core::dom::PrefixExpression",8,0,"6"
"org::eclipse::jdt::internal::core::search::indexing::RemoveFolderFromIndex",6,0,"3"
"org::eclipse::jdt::internal::core::search::matching::LocalVariableLocator",6,1,"4"
"org::eclipse::jdt::internal::core::ImportDeclarationElementInfo",3,0,"3"
"org::eclipse::jdt::internal::compiler::ast::Literal",0,0,"5"
"org::eclipse::jdt::internal::codeassist::impl::AssistTypeParameter",1,0,"4"
"org::eclipse::jdt::internal::compiler::util::SimpleSetOfCharArray",6,0,"1"
"org::eclipse::jdt::internal::core::TypeParameter",5,0,"6"
"org::eclipse::jdt::internal::core::util::StackMapTableAttribute",1,0,"3"
"org::eclipse::jdt::core::NamingConventions",9,2,"1"
"org::eclipse::jdt::core::dom::MethodRef",3,0,"6"
"org::eclipse::jdt::internal::compiler::ast::NumberLiteral",0,0,"5"
"org::eclipse::jdt::internal::core::index::MemoryIndex",2,0,"1"
"org::eclipse::jdt::core::dom::MemberValuePair",6,0,"6"
"org::eclipse::jdt::core::dom::BodyDeclaration",6,0,"6"
"org::eclipse::jdt::internal::core::util::LocalVariableTypeTableEntry",0,0,"3"
"org::eclipse::jdt::internal::core::builder::SourceFile",5,0,"3"
"org::eclipse::jdt::core::dom::LabeledStatement",9,0,"6"
"org::eclipse::jdt::internal::core::ExternalPackageFragmentRoot",5,0,"6"
"org::eclipse::jdt::internal::core::dom::rewrite::SourceModifier",1,0,"3"
"org::eclipse::jdt::internal::core::JarEntryResource",2,0,"3"
"org::eclipse::jdt::internal::core::search::matching::OrLocator",8,0,"1"
"org::eclipse::jdt::internal::compiler::parser::RecoveryScannerData",1,0,"3"
"org::eclipse::jdt::internal::compiler::flow::LoopingFlowContext",11,0,"7"
"org::eclipse::jdt::internal::compiler::ast::FalseLiteral",2,0,"5"
"org::eclipse::jdt::internal::core::util::SourceFileAttribute",0,0,"3"
"org::eclipse::jdt::internal::core::util::ClassFileAttribute",0,0,"3"
"org::eclipse::jdt::internal::core::CreateFieldOperation",10,0,"6"
"org::eclipse::jdt::core::JavaCore",172,4,"16"
"org::eclipse::jdt::core::dom::DefaultValuePairBinding",5,0,"3"
"org::eclipse::jdt::internal::core::SetContainerOperation",5,0,"1"
"org::eclipse::jdt::internal::compiler::codegen::StackMapFrame",8,0,"7"
"org::eclipse::jdt::internal::core::LRUCacheEnumerator",0,0,"3"
"org::eclipse::jdt::internal::core::hierarchy::RegionBasedHierarchyBuilder",7,0,"1"
"org::eclipse::jdt::internal::codeassist::complete::CompletionOnJavadocParamNameReference",7,0,"5"
"org::eclipse::jdt::internal::compiler::util::SimpleSet",0,0,"1"
"org::eclipse::jdt::internal::codeassist::complete::CompletionOnMemberValueName",0,0,"5"
"org::eclipse::jdt::internal::core::search::matching::SecondaryTypeDeclarationPattern",1,1,"4"
"org::eclipse::jdt::core::search::PackageDeclarationMatch",0,0,"3"
"org::eclipse::jdt::internal::core::ResolvedSourceType",4,0,"6"
"org::eclipse::jdt::internal::codeassist::select::SelectionOnParameterizedQualifiedTypeReference",3,0,"5"
"org::eclipse::jdt::internal::compiler::util::SimpleNameVector",1,0,"3"
"org::eclipse::jdt::internal::compiler::ast::Clinit",14,2,"8"
"org::eclipse::jdt::internal::core::builder::IncrementalImageBuilder",39,1,"13"
"org::eclipse::jdt::core::dom::ChildListPropertyDescriptor",1,0,"3"
"org::eclipse::jdt::internal::compiler::ast::AnnotationMethodDeclaration",2,0,"5"
"org::eclipse::jdt::internal::core::jdom::DOMCompilationUnit",5,0,"6"
"org::eclipse::jdt::internal::core::hierarchy::HierarchyBinaryType",6,0,"1"
"org::eclipse::jdt::internal::core::search::indexing::InternalSearchDocument",4,1,"3"
"org::eclipse::jdt::internal::core::BufferFactoryWrapper",0,0,"3"
"org::eclipse::jdt::core::dom::WildcardType",4,0,"6"
"org::eclipse::jdt::internal::compiler::ProcessTaskManager",3,0,"1"
"org::eclipse::jdt::internal::core::JarPackageFragmentRootInfo",2,0,"3"
"org::eclipse::jdt::internal::compiler::classfmt::ClassFileStruct",2,0,"3"
"org::eclipse::jdt::internal::compiler::ast::Javadoc",48,3,"13"
"org::eclipse::jdt::internal::codeassist::complete::CompletionOnExplicitConstructorCall",0,0,"5"
"org::eclipse::jdt::internal::core::SelectionRequestor",26,0,"13"
"org::eclipse::jdt::internal::codeassist::complete::CompletionOnKeyword1",2,0,"5"
"org::eclipse::jdt::internal::core::DeltaProcessor",101,2,"17"
"org::eclipse::jdt::core::JDTCompilerAdapter",30,0,"3"
"org::eclipse::jdt::internal::formatter::old::CodeFormatter",5,0,"1"
"org::eclipse::jdt::core::dom::DoStatement",10,0,"6"
"org::eclipse::jdt::internal::core::JavaModelManager",141,9,"12"
"org::eclipse::jdt::internal::core::jdom::CompilationUnit",0,0,"3"
"org::eclipse::jdt::internal::compiler::lookup::ParameterizedTypeBinding",69,2,"11"
"org::eclipse::jdt::core::dom::ConditionalExpression",8,0,"6"
"org::eclipse::jdt::internal::core::SourceMethodInfo",0,0,"3"
"org::eclipse::jdt::core::dom::ArrayAccess",8,0,"6"
"org::eclipse::jdt::internal::compiler::parser::diagnose::LexStream",6,0,"1"
"org::eclipse::jdt::internal::compiler::impl::Constant",7,0,"17"
"org::eclipse::jdt::internal::codeassist::complete::CompletionOnAnnotationMemberValuePair",0,0,"5"
"org::eclipse::jdt::internal::codeassist::complete::CompletionOnSingleNameReference",3,0,"5"
"org::eclipse::jdt::internal::core::util::CodeAttribute",4,1,"9"
"org::eclipse::jdt::internal::compiler::parser::RecoveredMethod",15,0,"7"
"org::eclipse::jdt::internal::core::search::indexing::SourceIndexer",10,1,"4"
"org::eclipse::jdt::internal::core::search::indexing::IndexManager",33,3,"2"
"org::eclipse::jdt::core::dom::SwitchCase",9,0,"6"
"org::eclipse::jdt::internal::compiler::ast::ConditionalExpression",24,0,"8"
"org::eclipse::jdt::internal::compiler::lookup::BlockScope",30,1,"13"
"org::eclipse::jdt::internal::core::util::SignatureAttribute",0,0,"3"
"org::eclipse::jdt::core::dom::Expression",2,0,"4"
"org::eclipse::jdt::internal::eval::CodeSnippetFieldReference",6,0,"8"
"org::eclipse::jdt::internal::compiler::codegen::DoubleCache",1,0,"3"
"org::eclipse::jdt::core::dom::FieldAccess",10,0,"6"
"org::eclipse::jdt::internal::compiler::ast::AND_AND_Expression",12,0,"8"
"org::eclipse::jdt::internal::core::search::indexing::IndexAllProject",10,0,"1"
"org::eclipse::jdt::internal::codeassist::UnresolvedReferenceNameFinder",7,0,"7"
"org::eclipse::jdt::core::search::LocalVariableDeclarationMatch",0,0,"3"
"org::eclipse::jdt::internal::compiler::lookup::ParameterizedMethodBinding",14,0,"4"
"org::eclipse::jdt::internal::core::BinaryMember",10,1,"6"
"org::eclipse::jdt::internal::core::AnnotatableInfo",1,0,"3"
"org::eclipse::jdt::internal::core::dom::rewrite::LineCommentEndOffsets",3,0,"3"
"org::eclipse::jdt::internal::core::jdom::DOMType",11,0,"2"
"org::eclipse::jdt::internal::core::NamedMember",8,0,"6"
"org::eclipse::jdt::internal::compiler::util::ObjectVector",3,0,"3"
"org::eclipse::jdt::internal::core::jdom::SiblingEnumeration",1,0,"3"
"org::eclipse::jdt::internal::compiler::ast::LongLiteralMinValue",0,0,"5"
"org::eclipse::jdt::internal::core::ImportContainer",8,0,"6"
"org::eclipse::jdt::internal::codeassist::impl::AssistInitializer",1,0,"4"
"org::eclipse::jdt::internal::compiler::ast::BinaryExpression",18,0,"9"
"org::eclipse::jdt::internal::compiler::ast::InstanceOfExpression",13,1,"5"
"org::eclipse::jdt::core::dom::RecoveredTypeBinding",10,0,"11"
"org::eclipse::jdt::internal::compiler::ast::JavadocQualifiedTypeReference",23,0,"5"
"org::eclipse::jdt::internal::codeassist::complete::CompletionOnBrankStatementLabel",1,0,"5"
"org::eclipse::jdt::internal::compiler::codegen::CodeStream",66,3,"18"
"org::eclipse::jdt::internal::core::search::matching::MultiTypeDeclarationPattern",10,1,"1"
"org::eclipse::jdt::internal::core::PackageFragmentInfo",2,0,"3"
"org::eclipse::jdt::internal::codeassist::complete::CompletionOnFieldType",1,0,"5"
"org::eclipse::jdt::internal::compiler::ast::OR_OR_Expression",12,0,"8"
"org::eclipse::jdt::core::dom::AnnotationTypeMemberDeclaration",8,0,"6"
"org::eclipse::jdt::internal::codeassist::complete::CompletionOnStringLiteral",1,0,"5"
"org::eclipse::jdt::internal::compiler::impl::DoubleConstant",1,0,"4"
"org::eclipse::jdt::internal::core::util::CommentRecorderScanner",0,1,"4"
"org::eclipse::jdt::internal::compiler::ast::FieldReference",43,6,"13"
"org::eclipse::jdt::internal::core::eval::GlobalVariableWrapper",0,0,"3"
"org::eclipse::jdt::internal::eval::CodeSnippetThisReference",2,0,"5"
"org::eclipse::jdt::core::CompletionProposal",19,1,"2"
"org::eclipse::jdt::internal::core::CreateTypeMemberOperation",8,1,"1"
"org::eclipse::jdt::internal::core::CompilationUnitStructureRequestor",22,1,"2"
"org::eclipse::jdt::internal::core::ClasspathAttribute",0,0,"3"
"org::eclipse::jdt::internal::compiler::ast::SynchronizedStatement",17,0,"8"
"org::eclipse::jdt::internal::core::hierarchy::ChangeCollector",2,0,"1"
"org::eclipse::jdt::core::dom::InternalASTRewrite",3,0,"1"
"org::eclipse::jdt::core::dom::PrimitiveType",7,0,"6"
"org::eclipse::jdt::internal::core::dom::rewrite::TrackedNodePosition",2,0,"3"
"org::eclipse::jdt::internal::compiler::ast::PrefixExpression",1,0,"5"
"org::eclipse::jdt::internal::compiler::ASTVisitor",3,0,"3"
"org::eclipse::jdt::core::dom::CharacterLiteral",9,1,"1"
"org::eclipse::jdt::core::dom::NumberLiteral",7,0,"6"
"org::eclipse::jdt::internal::compiler::ast::ThisReference",3,0,"5"
"org::eclipse::jdt::internal::core::jdom::DOMNode",4,0,"11"
"org::eclipse::jdt::internal::core::util::HashSetOfArray",1,0,"1"
"org::eclipse::jdt::core::search::TypeReferenceMatch",6,2,"3"
"org::eclipse::jdt::core::dom::ThisExpression",8,0,"6"
"org::eclipse::jdt::internal::eval::CodeSnippetSingleNameReference",16,2,"13"
"org::eclipse::jdt::internal::core::SourceMapper",48,1,"9"
"org::eclipse::jdt::internal::compiler::ast::UnaryExpression",10,0,"8"
"org::eclipse::jdt::internal::compiler::ast::JavadocAllocationExpression",27,0,"8"
"org::eclipse::jdt::core::dom::ArrayInitializer",5,0,"4"
"org::eclipse::jdt::core::dom::NormalAnnotation",4,0,"6"
"org::eclipse::jdt::internal::core::search::matching::JavaSearchPattern",21,1,"7"
"org::eclipse::jdt::internal::core::builder::StringSet",2,0,"3"
"org::eclipse::jdt::internal::compiler::env::AccessRestriction",4,0,"3"
"org::eclipse::jdt::core::dom::rewrite::ImportRewrite",7,0,"2"
"org::eclipse::jdt::internal::compiler::ast::ArrayQualifiedTypeReference",4,0,"5"
"org::eclipse::jdt::internal::compiler::parser::RecoveryScanner",6,0,"6"
"org::eclipse::jdt::internal::compiler::env::AccessRule",2,0,"3"
"org::eclipse::jdt::internal::compiler::problem::AbortCompilationUnit",4,0,"3"
"org::eclipse::jdt::internal::compiler::ast::CompilationUnitDeclaration",29,2,"13"
"org::eclipse::jdt::internal::codeassist::select::SelectionNodeFound",2,0,"3"
"org::eclipse::jdt::internal::codeassist::impl::Engine",20,1,"1"
"org::eclipse::jdt::core::dom::MethodBinding",59,0,"2"
"org::eclipse::jdt::internal::compiler::lookup::ParameterizedFieldBinding",5,0,"4"
"org::eclipse::jdt::internal::codeassist::impl::AssistOptions",8,0,"1"
"org::eclipse::jdt::internal::compiler::util::CompoundNameVector",1,0,"3"
"org::eclipse::jdt::core::search::SearchRequestor",1,0,"3"
"org::eclipse::jdt::internal::core::jdom::AbstractDOMBuilder",2,0,"3"
"org::eclipse::jdt::core::dom::InfixExpression",11,0,"6"
"org::eclipse::jdt::internal::compiler::ast::CompoundAssignment",6,0,"8"
